	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134
CAB2918_R1 - illumina_universal_adapter	0.0007266336961284956	0.0011178979940438395	0.0011178979940438395	0.0011178979940438395	0.0011178979940438395	0.0011178979940438395	0.002291690887789871	0.002291690887789871	0.002291690887789871	0.002291690887789871	0.002291690887789871	0.002319638337640967	0.002347585787492063	0.002347585787492063	0.002403480687194255	0.002431428137045351	0.002655007735854119	0.002682955185705215	0.002710902635556311	0.0027947449851095985	0.0028785873346628865	0.0033536939821315185	0.003856748079451246	0.004415697076473166	0.005254120572006046	0.005868964468730157	0.006735335414114133	0.008048865557115644	0.008747551803393044	0.010116976846096748	0.011178979940438394	0.012548404983142098	0.013833987676292514	0.02098853483817309	0.022777171628643227	0.024398123720006798	0.025963180911668174	0.02688544675675434	0.02814308200005366	0.029568401942459556	0.030937826985163258	0.03314567552339984	0.03462689036550793	0.0375893200497241	0.03976922113810959	0.041222488530366586	0.042955230421134534	0.04426876056413605	0.046560451451925916	0.04904777448867346	0.051004095978250175	0.052597100619762645	0.05449752720963717	0.056034636951447454	0.058046853340726366	0.06008701717985637	0.06232281316794405	0.06453066170618063	0.06699003729307708	0.0716852088680612	0.07679959219081177	0.0794545999266659	0.08210960766252001	0.08518382714614056	0.08797857213125017	0.09099689671516853	0.09429469579759786	0.09714533568240966	0.10119771591081857	0.10449551499324788	0.10921863401808313	0.11301948719783217
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
CAB2918_R2 - illumina_universal_adapter	0.0	0.0012855826931504155	0.0012855826931504155	0.001956321489576719	0.18355885062199845	0.1845090639169357	0.18490032821485106	0.18490032821485106	0.18490032821485106	0.18562696191097955	0.18615237396818016	0.1862194478478228	0.18662189112567856	0.18737088278168793	0.18779568401942462	0.18939427815090729	0.1916971480186376	0.19512909486035218	0.20066268993086916	0.2078060581128093	0.22069542198413478	0.22610604827530695	0.2300522281942817	0.23629009900104636	0.2430086659452498	0.24732375220225905	0.25339393830991713	0.2584468372429953	0.2640139692533336	0.2708443259969414	0.28346539434969636	0.2930234221987712	0.3015418049133853	0.31000429272829716	0.31988651099564464	0.3261467397622902
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
CAB2919_R2 - illumina_universal_adapter	0.0	0.0	0.0	0.0012524540271093673	0.06230958784869103	0.06288362927778282	0.06288362927778282	0.06288362927778282	0.06288362927778282	0.06290450351156798	0.06305062314806406	0.06329067683659337	0.06372903574608164	0.06484580725358749	0.06575383642324178	0.06878060032208942	0.06990780894648785	0.07152556206483746	0.07337293175482378	0.07861236443489797	0.08400835386836084	0.08755697361183737	0.09022887553633735	0.09487339255353458	0.10413111523725131	0.10772148344829817	0.11181283327018879	0.11667652974213016	0.12095574766808714	0.12617430611437616	0.13337591677025507	0.1391685166456359	0.14566040335281943	0.15199573330661434	0.15824756632526857	0.16229716767958885
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
CAB2920_R2 - illumina_universal_adapter	0.0	0.0	0.0	0.0005970085889635665	0.25923439618551314	0.25963240191148884	0.25963240191148884	0.25963240191148884	0.25963240191148884	0.259738536771749	0.26026921107304996	0.2606141493688956	0.2609590876647412	0.2617152985440951	0.26236537456318876	0.26342672316579063	0.2651381477874862	0.2673006455652875	0.2706969610936136	0.2747566194985659	0.2803817670923559	0.28255753172768977	0.28538337238211736	0.2894562976446021	0.29459057150968876	0.2971776087285309	0.3005606573993244	0.30350589977154474	0.3074461564587042	0.31254062975119334	0.31987720196667896	0.3260462907193025	0.33078255885841346	0.3364475070248011	0.34297480093080274	0.3495816959819995
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
CAB2921_R2 - illumina_universal_adapter	0.0	0.0	0.0	0.0004577984244867221	0.1496428600040973	0.14998620882246233	0.14998620882246233	0.14998620882246233	0.14998620882246233	0.150100658428584	0.1503867824438882	0.15077591110470195	0.15119937464735214	0.1522179761418351	0.1531907977938694	0.15384316054876299	0.15464430779161473	0.15624660227731824	0.16067580203422732	0.16344548250237195	0.16962576123294273	0.17291046492863496	0.17590904460902296	0.18234111247306145	0.18931109348587177	0.192664466945237	0.19580038615297107	0.19930254410029447	0.2024842431504772	0.20713089715901742	0.21216667982837137	0.21685911367936028	0.22156299249096137	0.22868175799172988	0.2348620367223006	0.23937135120349484
	1	2	3	4	5	6	7	8	9	12	17	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
CAB2922_R2 - illumina_universal_adapter	0.0	0.0	0.0	0.0009754152678094063	0.17441644257516947	0.17466029639212183	0.17484318675483607	0.17484318675483607	0.17484318675483607	0.17496511366331227	0.1752089674802646	0.17556255551484554	0.1760380704579026	0.17626973158400736	0.17661112692774064	0.17752557874131195	0.17898870164302605	0.18148820326678766	0.18370727300105402	0.18669448225872037	0.1911570071089484	0.19355896720592908	0.1955341831232431	0.19964311993889022	0.20698311982915601	0.20878763807460343	0.21332331906991717	0.2156155449492693	0.21843205653506895	0.2224434518239351	0.22992976400437226	0.2354774383400383	0.24036670736993293	0.24642647472119888	0.25292517894297906	0.25842408251525456
