CAB2922_R2	0.0	0.5	0.5	0.0	0.0	0.5	1.0	0.5	0.5	2.0	1.5	5.5	8.0	11.0	61.0	95.5	101.0	149.0	363.5	624.0	1291.5	2367.0	4272.5	6765.0	8837.0	11108.5	14070.0	16878.0	20117.5	26327.5	35716.0	43874.5	51195.0	60100.0	69393.5	76454.5	82307.0	86511.0	88583.0	92094.0	94127.0	91488.5	88620.5	83268.5	73162.0	64195.5	56035.0	47853.5	42783.5	37037.0	30976.5	26020.5	21214.0	17493.5	13559.5	11298.5	8409.5	5746.5	4821.0	4193.0	3177.0	2346.0	2091.5	1788.0	1500.0	1167.5	921.0	805.5	663.0	554.5	484.0	449.5	363.0	268.0	231.5	205.0	215.5	193.0	176.0	145.0	65.0	58.0	52.0	44.5	34.0	29.0	26.5	23.0	25.5	22.5	17.5	14.5	14.5	17.0	15.0	12.0	14.0	15.0	16.5	24.5	32.0
CAB2923_R1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.5	1.5	6.5	18.5	64.5	137.5	195.0	194.5	461.5	898.0	1218.0	1730.0	2845.0	4623.0	6784.5	9601.0	12651.0	16913.5	23249.5	28230.5	35403.5	44451.5	50089.0	56335.0	62736.5	68200.5	74004.5	78810.0	81037.5	80064.0	79031.0	77162.5	73525.5	67420.0	61738.0	59947.5	55137.0	48713.0	44101.0	37603.0	31088.5	27367.5	23252.5	19568.0	17938.0	15880.0	13431.0	11353.5	9669.5	7431.0	4768.5	3129.0	2370.0	1805.0	1342.0	967.5	812.5	806.5	597.5	338.5	238.5	208.5	215.0	168.0	191.0	133.5	32.0	24.0	16.0	12.5	13.5	11.0	8.0	8.0	7.0	6.0	2.5	0.5	0.5	0.5	2.5	2.0	0.5	1.0	1.0	0.5	0.0	0.0
CAB2923_R2	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	1.0	3.0	2.5	4.0	13.0	44.0	58.5	64.0	141.0	382.5	653.0	1192.0	2112.0	3341.5	5062.0	7197.0	9417.5	11737.5	14568.5	18388.5	24515.0	32221.0	40547.5	48933.5	55880.0	63347.5	70018.0	75583.5	81818.0	85066.5	86903.0	88341.0	87491.0	84024.5	78546.0	71266.0	63677.0	54671.0	44972.5	39584.0	34949.0	29772.0	24506.0	19509.0	16182.5	13107.5	10797.0	8335.5	6048.5	5018.0	4019.0	3051.0	2428.0	1954.0	1502.0	1248.5	1050.0	792.0	560.0	516.5	520.0	452.5	374.5	326.5	269.0	219.5	160.5	131.0	168.5	206.0	135.0	58.5	41.5	37.5	37.0	24.5	17.5	20.0	18.5	17.5	19.5	17.0	11.0	10.0	11.5	11.0	9.5	12.0	12.5	13.0	21.0	25.0
CAB2924_R1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	1.5	4.0	12.0	28.5	55.0	107.5	194.5	241.0	448.5	788.0	1020.5	1450.5	2771.0	4923.5	6949.5	9289.5	12264.0	15988.0	21586.0	26710.5	33642.0	42277.5	47691.0	53404.5	59597.5	65227.5	71606.0	76064.0	76956.5	76970.0	75804.5	73457.5	69662.5	63281.0	58459.5	55331.0	50427.0	45476.0	40580.0	34923.0	29565.0	24683.0	20993.0	18410.5	16211.5	14169.5	12363.0	10231.5	7983.0	6042.5	4476.5	2978.0	1936.5	1605.5	1306.5	825.0	734.5	745.0	445.5	264.5	235.0	172.5	171.0	122.0	127.5	109.5	31.0	19.0	18.5	15.0	14.0	13.5	16.0	13.5	8.5	4.5	5.5	4.0	0.5	0.5	2.0	3.0	1.5	0.0	0.0	0.0	0.0	0.0
CAB2924_R2	0.0	0.0	0.0	0.5	0.5	0.0	2.0	4.5	3.5	2.5	6.0	5.5	4.0	13.0	44.0	62.0	66.0	141.0	400.0	575.5	1051.5	1960.0	3178.0	4843.0	6766.5	8913.5	11178.5	13490.5	17553.5	23399.5	30444.0	38461.0	46102.5	52532.5	60097.5	66776.5	72224.5	77991.0	80391.5	82284.5	83736.5	82284.5	79863.5	75199.5	67209.0	59399.0	50935.5	42234.0	37225.5	33071.0	27904.5	22383.5	17724.0	14454.5	11802.5	9738.5	7132.0	5369.5	4807.0	4058.0	2927.5	2149.5	1800.0	1425.0	1141.0	908.0	717.5	620.0	541.5	415.0	375.0	361.5	297.0	235.0	192.0	148.5	122.5	173.0	170.0	84.5	56.5	49.0	43.5	32.0	26.0	23.5	17.5	19.0	22.5	19.5	10.0	5.5	8.0	11.0	11.0	12.0	9.5	9.5	12.0	16.0	21.0
CAB2925_R1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0	31.0	46.5	77.0	170.0	207.5	200.5	457.5	872.5	1146.5	1576.5	2880.5	4899.0	6753.5	9100.5	12481.5	16241.5	21736.5	26916.0	33197.5	41892.5	48507.0	53837.0	59455.5	65622.0	70989.0	74870.0	76718.5	76631.0	75322.5	73216.0	69149.0	63561.0	59328.5	56788.0	51672.0	45857.5	40893.0	35461.5	30446.5	25314.5	21867.5	19070.0	16792.5	14830.5	12361.0	9861.5	8027.0	6786.5	5381.0	3731.0	2449.5	1841.5	1283.0	886.0	850.0	706.5	487.0	350.5	308.5	236.5	207.0	155.0	147.0	101.0	31.5	19.0	16.0	19.5	18.0	11.0	8.5	8.0	5.5	7.5	9.5	6.0	2.5	1.5	0.5	0.0	0.5	0.5	0.0	0.0	0.0	0.0
CAB2925_R2	0.0	0.5	0.5	0.0	0.0	0.5	1.0	1.0	3.0	4.5	3.5	7.5	10.5	12.0	38.5	44.0	34.0	92.5	314.5	563.5	1061.0	1891.5	3098.5	4801.5	6474.0	8748.5	11672.5	14291.5	17572.0	23091.0	30762.0	38664.0	45718.5	53582.5	62574.5	67966.5	73088.5	79210.0	81264.0	84324.5	84740.0	82246.5	79541.0	74521.0	67862.0	60109.5	51106.5	42018.0	37369.0	32687.0	27901.5	22975.5	17682.5	14159.0	11686.0	9775.5	7128.0	5388.0	4549.0	4175.5	3102.0	1789.5	1518.5	1297.0	1219.5	1006.5	668.0	540.5	502.5	447.0	372.5	382.5	353.0	258.5	160.0	142.5	117.5	163.0	196.0	124.0	61.5	46.0	36.5	29.0	27.0	19.5	16.5	17.0	16.0	17.5	13.5	11.0	11.5	11.0	12.5	12.0	11.5	10.0	12.0	16.5	20.5
CAB2927_R1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	4.5	9.5	11.5	36.5	105.5	252.0	360.0	442.0	673.5	938.5	1579.0	3216.0	4890.5	7029.5	10364.0	14520.0	19916.5	26011.5	33579.5	40742.0	48304.5	57210.5	64060.0	70849.0	79607.0	88101.0	91238.5	92055.0	91629.0	90841.5	88098.5	78678.5	72580.0	70200.0	66226.5	61882.5	56410.0	49355.0	41037.0	33979.0	29299.0	25089.0	22423.5	21055.5	20332.5	18903.5	14320.0	10580.5	8135.0	5048.5	3355.5	2774.5	1835.0	1182.0	1237.5	1235.5	860.0	407.0	257.0	269.0	284.0	298.0	352.0	196.5	35.0	16.5	11.0	12.5	8.5	5.0	3.5	2.0	2.0	3.0	2.0	2.5	3.5	2.0	1.0	0.5	0.5	0.5	0.5	0.0	0.0	0.0
CAB2927_R2	0.0	0.0	0.0	1.0	1.0	1.0	1.5	0.5	0.0	0.0	0.5	1.5	3.5	7.0	20.0	24.0	18.5	51.0	136.0	239.0	575.0	1309.0	2781.0	4536.5	5882.5	7441.5	9544.0	12068.5	15873.5	21349.5	29142.5	39207.0	47331.5	54417.0	65189.5	74501.5	82079.5	91800.0	97149.5	99778.0	102042.5	99970.5	96314.0	94255.0	86703.0	77745.0	68608.0	56324.0	49719.5	44630.0	39816.5	34107.0	28553.0	23304.5	17483.0	14497.0	10629.5	7592.5	6436.5	5376.5	4126.5	3008.5	2327.0	1652.0	1370.0	1383.5	1053.0	611.0	569.0	516.5	570.5	561.5	356.5	314.5	290.0	200.5	155.0	127.0	278.0	260.5	65.5	50.0	43.0	36.5	34.5	30.0	27.5	23.5	21.5	23.0	15.5	11.0	13.5	11.0	10.0	12.5	13.0	16.0	21.0	27.0	38.5
CAB2931_R1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	4.0	24.5	34.0	37.0	163.0	344.0	290.0	412.5	1009.0	1322.5	1687.5	2962.5	4840.0	7746.5	10375.0	13461.0	17846.0	24015.0	30480.5	38441.5	46692.5	53968.0	60836.0	66085.0	72211.0	79537.0	84627.0	85849.0	85512.0	82641.0	79340.5	74726.0	68742.0	64311.0	60190.0	54626.5	49638.5	44232.0	37091.0	30889.0	26101.0	22687.5	20152.0	17116.0	14748.0	13708.5	11336.5	8540.5	6579.0	4739.0	2812.0	1862.0	1652.5	1131.5	747.0	623.5	714.5	568.0	280.0	226.0	175.0	154.5	150.0	120.0	62.0	20.5	17.5	11.5	10.5	10.0	7.0	7.5	6.5	4.5	5.5	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
